,Review_text,Noun_Phrases
0,Best phone ever,['Best phone']
1,One of the best phone!,['the best phone']
2,"one plus 6 is extremely worth for it's price and moreover in Amazon sale it's even beyond that. 35k for this phone is worth buying but in Amazon sale it costs me 27k. it's just mind blowing deal for me.
.
A fast device with perfect photo clicking quality. Definitely the best phone to buy","[""it's price"", 'Amazon sale', 'it', '35k', 'this phone', 'Amazon sale', 'it', 'me', '27k', 'it', 'just mind', 'deal', 'me', 'A fast device', 'perfect photo clicking quality', 'Definitely the best phone']"
3,Good pictures,['Good pictures']
4,Six months later: no complaints. OnePlus does deploy customer centric design really well.,"['Six months later: no complaints', 'OnePlus', 'customer centric design']"
5,Superb,[]
6,This is my honest review of one plus 6 and i am not even faking it please its your money i don't have to anything with it i just wanna let u know guys these devices performs best as compared to flagship phones but i am having a very bad experience after 3 months of usage.I use to play pubg on this phone but now i can see fadded icons of games like shooting button sertings button names health etc even if the game is closed i tried updating rebooting but the problems are still there and now i am planning to go to customer service of one plus.I will post the honest opinion after visiting to the customer service.,"['my honest review', 'i', 'it', 'its your money', 'i', 'anything', 'it', 'i', 'u know guys', 'these devices', 'flagship phones', 'i', 'a very bad experience', '3 months', 'usage', 'I', 'pubg', 'this phone', 'i', 'fadded icons', 'games', 'button sertings button names health etc', 'the game', 'i', 'rebooting', 'the problems', 'i', 'customer service', 'I', 'the honest opinion', 'the customer service']"
7,"One plus makes very premium quality phones we all are well aware of that. Compared to Samsung the prices are also much more sensible so but it without giving a second thought. Check video reviews on YT though, MKBHD and Unbox Therapy maybe.","['One plus', 'very premium quality phones', 'we', 'Samsung', 'the prices', 'it', 'a second thought', 'video reviews', 'YT']"
8,This Is The Best Phone Ever. Smooth As Butter. After Using This Phone I Can't Use Any Other Phone.,"['The Best Phone', 'Butter', 'This Phone', 'I', 'Any Other Phone']"
9,bear,['bear']
10,Advisable,[]
11,i loved it,"['i', 'it']"
12,One plus is one of most valuable phone,"['One plus', 'most valuable phone']"
13,It's just perfect,['It']
14,"Cons: Battery life & sound life.
Pros: performance & camera","['Cons', 'Battery life', 'sound life', 'Pros', 'performance', 'camera']"
15,Good,[]
16,"I was just fed up with iphone but OnePlus really makes my life easy. Amazing Product, fast, smooth and best quality.","['I', 'iphone', 'OnePlus', 'my life', 'Amazing Product', 'fast, smooth and best quality']"
17,Best performance,['Best performance']
18,Got 8gb 128gb for 31k. What else do you need for that price!,"['128gb', '31k', 'What', 'you', 'that price']"
19,Overall nice product,['Overall nice product']
20,Excellent smartphone. Good Speed.,"['Excellent smartphone', 'Good Speed']"
21,You may have it when you needs high cost device.,"['You', 'it', 'you', 'high cost device']"
22,No cons only pros it's a very good phone,"['No cons', 'it', 'a very good phone']"
23,Just ausome,[]
24,Best product in good price,"['Best product', 'good price']"
25,"Performance is good, but has some issues. The mobile Internet on the phone stops working and required a restart almost 3 times a day.
The people at the sales outlet at Seawoods Grand Central Mall are not even willing to talk to you. They ask you to go to the service centre. They say that they don't know technical stuff, only information for selling. They perhaps are worried about customers getting influenced by the visit of a customer who has run into problems. Instead of reassuring the customer, they keep repeating -  'Go to the Service Centre. We don't know anything.'. This is is so so sad.
The people at the service centre say that it required a factory reset as there is some OS Corruption. This is strange. Additionally, they do not even have an option to help you with your data backup.
The only good thing they had at the service centre was good coffee. The place is worth a visit only if you want some good coffee. Service is not their forte. Thank you.","['Performance', 'some issues', 'The mobile Internet', 'the phone stops', 'a restart', 'The people', 'the sales outlet', 'Seawoods Grand Central Mall', 'you', 'They', 'you', 'the service centre', 'They', 'they', 'technical stuff', 'only information', 'selling', 'They', 'customers', 'the visit', 'a customer', 'who', 'problems', 'the customer', 'they', 'the Service Centre', 'We', 'anything', 'The people', 'the service centre', 'it', 'a factory reset', 'some OS Corruption', 'they', 'an option', 'you', 'The only good thing', 'they', 'the service centre', 'good coffee', 'The place', 'you', 'some good coffee', 'Service', 'their forte', 'you']"
26,This phone is very good;good sound quality;good features;oxygen Os is awesome;picture quality is excellent but it fades little bit in interiors;it does not hang at all very fast phone ; IAM being using it since 6 month and no issue recommend to take it,"['This phone', 'very good;good sound quality;good features;oxygen', 'Os', 'awesome;picture quality', 'it', 'very fast phone', 'IAM', 'it', '6 month', 'no issue', 'it']"
27,It’s overall a good product which is a value for the money spent,"['It', 'a good product', 'a value', 'the money']"
28,Very Good Deal,['Very Good Deal']
29,Overall superb phone....more expectations on battery part...camera is just too good..,"['Overall superb phone', 'more expectations', 'battery part', 'camera']"
30,You should have one +,['You']
31,Good,[]
32,3rd one plus phone for all.  great performance as always :),"['phone', 'great performance']"
33,One plus... Pulling strong wit its amazing Specifications.,"['strong wit', 'its amazing Specifications']"
34,Yet another masterpiece from one plus. Been using from 6 months now. Handled it very rough. Installed many apps and games. Using it heavily and havent noticed little lag or any problem so ever. No lag. Does justice to the caption. Speed you need. Had issues with amazon delivery. My first order was lost in transit. Then reordered from prime now with 2 hour delivery. Now glad we have offline retail stores. Need not to rely on Amazon when they are irresponsible and lose the 30k item in transit.,"['Yet another masterpiece', 'plus', '6 months', 'it', 'many apps', 'games', 'it', 'little lag', 'any problem', 'No lag', 'justice', 'the caption', 'Speed', 'you', 'issues', 'amazon delivery', 'My first order', 'transit', '2 hour delivery', 'we', 'offline retail stores', 'Amazon', 'they', 'the 30k item', 'transit']"
35,We r happy but we have not received the Cashback into our Citi bank credit card.,"['We', 'we', 'the Cashback', 'our Citi bank credit card']"
36,"Superb look, awesome speed and value","['awesome speed', 'value']"
37,Nic,['Nic']
38,Very happy with this product,['this product']
39,Camera is Best,['Camera']
40,overall  okay,[]
41,"No SMS Forwarding, No In bhoot Apps, Not able to Opn the Links in whatsapp or Message apps. Horrible Customer Care Service which is not vale to resolver any issues or answer queries. Automatic Data Loss. Bought one plus 6 64gb and it is not supporting  word, excel or pdf apps.  Not able to clear the ram automatically for all apps. They are asking to go to every app in android system n clear everything individually. Useless Phone. No usability for all above mentioned features","['No SMS Forwarding', 'bhoot Apps', 'the Links', 'whatsapp or Message apps', 'Horrible Customer Care Service', 'any issues', 'answer queries', 'Automatic Data Loss', '6 64gb', 'it', 'word', 'pdf apps', 'the ram', 'all apps', 'They', 'every app', 'android system', 'everything', 'Useless Phone', 'No usability', 'mentioned features']"
42,Awesome mobile,['Awesome mobile']
43,Expensive but overall experience is really awesome...! Worthy product,"['Expensive but overall experience', 'Worthy product']"
44,Very less Battery life.,['Very less Battery life']
45,Recommended to all who are looking for a phone in this price range,"['who', 'a phone', 'this price range']"
46,Battery life needs to be improved,['Battery life']
47,"I'll be completely honest, the product is good but not something that blew me off my feet. Face recognition and finger print ID are quite fast but not perfect. Camera is good but videos below full HD seem to be of lower quality than they should be. Slow me video is patchy and bokeh is below average. As a new device battery life is average. I used to have a Nexus 5 and despite the ""huge"" upgrade I don't see a huge performance boost. This device even crashed several times while playing simple games. Sound quality however is one of the best any loud speaker, even if not the loudest available, is still good.","['I', 'the product', 'me', 'my feet', 'Face recognition', 'finger print ID', 'Camera', 'videos', 'full HD', 'lower quality', 'they', 'me', 'video', 'a new device battery life', 'I', 'a Nexus', 'the ""huge"" upgrade', 'I', 'a huge performance boost', 'This device', 'simple games', 'Sound quality', 'the best any loud speaker']"
48,Super,[]
49,"A great phone , a great price. More than happy. Should come with a better scratch  guard cover, than the one given free with it.","['A great phone', 'a great price', 'a better scratch  guard cover', 'the one', 'it']"
50,Everything is good .,['Everything']
51,Amazing phone at amazing price. Battery is amazing. Just love this phone. Upgraded from one plus 5. Go for it,"['Amazing phone', 'amazing price', 'Battery', 'this phone', 'it']"
52,"Very nice mobile with awesome features.
Nice camera, big screen, superb operating system (Oxygen OS) and many more good features.
The product is Value for Money.","['Very nice mobile', 'awesome features', 'Nice camera', 'big screen', 'superb operating system', 'Oxygen OS', 'many more good features', 'The product', 'Value', 'Money']"
53,Video quality should improve,['Video quality']
54,Just one word Ausome phone!!!,['Just one word Ausome phone']
55,Good,[]
56,Red looks awsum,[]
57,I like it,"['I', 'it']"
