,Review_text,Nouns
0,Best phone ever,phone
1,One of the best phone!,phone
2,"one plus 6 is extremely worth for it's price and moreover in Amazon sale it's even beyond that. 35k for this phone is worth buying but in Amazon sale it costs me 27k. it's just mind blowing deal for me.
.
A fast device with perfect photo clicking quality. Definitely the best phone to buy","price,sale,phone,sale,mind,deal,device,photo,quality,phone"
3,Good pictures,picture
4,Six months later: no complaints. OnePlus does deploy customer centric design really well.,"month,complaint,customer,design"
5,Superb,
6,This is my honest review of one plus 6 and i am not even faking it please its your money i don't have to anything with it i just wanna let u know guys these devices performs best as compared to flagship phones but i am having a very bad experience after 3 months of usage.I use to play pubg on this phone but now i can see fadded icons of games like shooting button sertings button names health etc even if the game is closed i tried updating rebooting but the problems are still there and now i am planning to go to customer service of one plus.I will post the honest opinion after visiting to the customer service.,"review,money,anything,guy,device,flagship,phone,experience,month,usage,pubg,phone,icon,game,button,serting,name,health,game,updating,rebooting,problem,customer,service,plu,opinion,customer,service"
7,"One plus makes very premium quality phones we all are well aware of that. Compared to Samsung the prices are also much more sensible so but it without giving a second thought. Check video reviews on YT though, MKBHD and Unbox Therapy maybe.","plu,quality,phone,price,thought,video,review"
8,This Is The Best Phone Ever. Smooth As Butter. After Using This Phone I Can't Use Any Other Phone.,phone
9,bear,bear
10,Advisable,
11,i loved it,
12,One plus is one of most valuable phone,"plu,phone"
13,It's just perfect,
14,"Cons: Battery life & sound life.
Pros: performance & camera","con,battery,life,life,pro,performance,camera"
15,Good,
16,"I was just fed up with iphone but OnePlus really makes my life easy. Amazing Product, fast, smooth and best quality.","iphone,life,product,quality"
17,Best performance,performance
18,Got 8gb 128gb for 31k. What else do you need for that price!,"gb,price"
19,Overall nice product,product
20,Excellent smartphone. Good Speed.,"smartphone,speed"
21,You may have it when you needs high cost device.,"cost,device"
22,No cons only pros it's a very good phone,"con,phone"
23,Just ausome,
24,Best product in good price,"product,price"
25,"Performance is good, but has some issues. The mobile Internet on the phone stops working and required a restart almost 3 times a day.
The people at the sales outlet at Seawoods Grand Central Mall are not even willing to talk to you. They ask you to go to the service centre. They say that they don't know technical stuff, only information for selling. They perhaps are worried about customers getting influenced by the visit of a customer who has run into problems. Instead of reassuring the customer, they keep repeating -  'Go to the Service Centre. We don't know anything.'. This is is so so sad.
The people at the service centre say that it required a factory reset as there is some OS Corruption. This is strange. Additionally, they do not even have an option to help you with your data backup.
The only good thing they had at the service centre was good coffee. The place is worth a visit only if you want some good coffee. Service is not their forte. Thank you.","performance,issue,internet,phone,stop,restart,time,day,person,sale,outlet,service,centre,stuff,information,customer,visit,customer,problem,customer,anything,person,service,centre,factory,reset,corruption,option,datum,thing,service,centre,coffee,place,visit,coffee,service,forte"
26,This phone is very good;good sound quality;good features;oxygen Os is awesome;picture quality is excellent but it fades little bit in interiors;it does not hang at all very fast phone ; IAM being using it since 6 month and no issue recommend to take it,"phone,sound,quality,bit,phone,month,issue"
27,It’s overall a good product which is a value for the money spent,"product,value,money"
28,Very Good Deal,
29,Overall superb phone....more expectations on battery part...camera is just too good..,"phone,expectation,battery,part,camera"
30,You should have one +,
31,Good,
32,3rd one plus phone for all.  great performance as always :),"phone,performance"
33,One plus... Pulling strong wit its amazing Specifications.,wit
34,Yet another masterpiece from one plus. Been using from 6 months now. Handled it very rough. Installed many apps and games. Using it heavily and havent noticed little lag or any problem so ever. No lag. Does justice to the caption. Speed you need. Had issues with amazon delivery. My first order was lost in transit. Then reordered from prime now with 2 hour delivery. Now glad we have offline retail stores. Need not to rely on Amazon when they are irresponsible and lose the 30k item in transit.,"masterpiece,plu,month,app,game,lag,problem,lag,justice,caption,speed,issue,amazon,delivery,order,transit,hour,delivery,store,item,transit"
35,We r happy but we have not received the Cashback into our Citi bank credit card.,"bank,credit,card"
36,"Superb look, awesome speed and value","speed,value"
37,Nic,
38,Very happy with this product,product
39,Camera is Best,camera
40,overall  okay,
41,"No SMS Forwarding, No In bhoot Apps, Not able to Opn the Links in whatsapp or Message apps. Horrible Customer Care Service which is not vale to resolver any issues or answer queries. Automatic Data Loss. Bought one plus 6 64gb and it is not supporting  word, excel or pdf apps.  Not able to clear the ram automatically for all apps. They are asking to go to every app in android system n clear everything individually. Useless Phone. No usability for all above mentioned features","bhoot,whatsapp,message,app,issue,query,gb,word,app,ram,app,app,system,everything,usability,feature"
42,Awesome mobile,mobile
43,Expensive but overall experience is really awesome...! Worthy product,"experience,product"
44,Very less Battery life.,life
45,Recommended to all who are looking for a phone in this price range,"phone,price,range"
46,Battery life needs to be improved,"battery,life"
47,"I'll be completely honest, the product is good but not something that blew me off my feet. Face recognition and finger print ID are quite fast but not perfect. Camera is good but videos below full HD seem to be of lower quality than they should be. Slow me video is patchy and bokeh is below average. As a new device battery life is average. I used to have a Nexus 5 and despite the ""huge"" upgrade I don't see a huge performance boost. This device even crashed several times while playing simple games. Sound quality however is one of the best any loud speaker, even if not the loudest available, is still good.","product,something,foot,face,recognition,finger,print,camera,video,hd,quality,video,patchy,bokeh,device,battery,life,upgrade,performance,boost,device,time,game,quality,speaker"
48,Super,
49,"A great phone , a great price. More than happy. Should come with a better scratch  guard cover, than the one given free with it.","phone,price,scratch,guard,cover,one"
50,Everything is good .,everything
51,Amazing phone at amazing price. Battery is amazing. Just love this phone. Upgraded from one plus 5. Go for it,"phone,price,battery,phone"
52,"Very nice mobile with awesome features.
Nice camera, big screen, superb operating system (Oxygen OS) and many more good features.
The product is Value for Money.","mobile,feature,camera,screen,operating,system,feature,product,money"
53,Video quality should improve,"video,quality"
54,Just one word Ausome phone!!!,"word,phone"
55,Good,
56,Red looks awsum,awsum
57,I like it,
58,"What to review, eveything about this phone is just awesome. Best screen, best camera, best performance and mostly its Color OS. Far better than 6T because having Led notification, headphone jack and lesser price, ofcourse better fingerprint too.","phone,screen,camera,performance,t,notification,headphone,jack,price,fingerprint"
59,Best in class.,clas
60,Quality of camera and phone is osm,"quality,camera,phone,osm"
61,Best techno gadget,"techno,gadget"
62,Value for money,"value,money"
63,"Used both OnePlus 6 and 6T, and no doubt OnePlus 6 still seems like a champion in all a features","t,doubt,champion,feature"
64,"Tag line need for speed is absloutely perfect for this phone, front camera is well but flash light is not available.....","tag,line,speed,phone,front,camera,light"
65,Yes i disapaointant  in this mobile totaly wrost my mony. Hang this mobile. I suggest eveey men not buy this phone.,"mony,mobile,man,phone"
66,Worth money,money
67,So smooth,
68,Any comments would be an insult for this kind a phone...,"comment,insult,kind,phone"
69,Happy & fulfilled all the expectations.. :),expectation
70,Just wow,
71,It's a beast,beast
72,Almost everything is just fine.. it has got only one problem i.e. when u r using dual sim it has got connectivity issue.. its dual volte doesn't work..,"everything,problem,sim,connectivity,issue,volte"
73,Every thing is very good in this phone I am using it from last five months,"thing,phone,month"
74,Gyf,gyf
75,Good,
76,Very good,
77,picture quality is superb sound quality is very good....,"picture,quality,quality"
78,"Used it for 6 months and still not over it.
Excellent look & Feel. Super sound quality and awesome clicks.","month,look,quality,click"
79,Awesome,
80,"I always wanted to buy oneplus, right from the launch of its first mobile. Finally managed to buy 1+ 6. And it's worth waiting. Best part of it is camera. Just amazing. I hardly carry my DSLR now while going out.","oneplu,launch,mobile,part,camera,dslr"
81,Well good,
82,Amazing device,device
83,"Speed beast
Excellent gaming experience
Battery life is not as much we require
Best camera and best display...
Sexiest display","speed,beast,gaming,experience,battery,life,camera,display,sexiest,display"
84,Speed phone,"speed,phone"
85,Very good product go head,"product,head"
86,Ultimate phone,phone
87,Pictures are simply awesome.u don't need to buy a separate 📷 until u are a professional photographer,"picture,photographer"
88,Love this❤️,
89,Good Product,product
90,Superb product,product
91,Excellent work done by oneplus.,"work,oneplu"
92,Just loving it,
93,"is there any products you deliver is good, or it's your trademark to deliver the worst quality product.???","product,trademark,quality,product"
94,Just go for it,
